subject_id,visit_number,team,user_id,aversion,coupling_score,beta_gaze_y_std,beta_gaze_y_mean,beta_gaze_x_std
0818_1600_U9TEJGM,1.0,Team 7,U9TEJGM,0.6818181818181819,0.006985827999370767,-0.0030199756258360647,0.010907703389462465,0.00702980498281377
0819_1400_539136F,1.0,Team 15,539136F,0.40697674418604646,0.004309252261931608,-0.0021166829356277376,-0.001115942043811888,0.009695131806355197
0819_1400_9M4VCHG,1.0,Team 15,9M4VCHG,0.23290043290043294,0.005845727636221582,-0.0070346133188041214,0.006706674215260029,-0.0037958953746005963
0823_1400_539136F,2.0,Team 15,539136F,0.3789640591966173,0.005208483246003295,-0.006900932524230246,0.005049618259270575,0.0036748989545090658
0823_1400_9M4VCHG,2.0,Team 15,9M4VCHG,0.0,0.0015973016465681371,-0.000104865315509932,0.003375825284282344,0.0013112143399121353
0823_1400_U9TEJGM,2.0,Team 15,U9TEJGM,0.008734939759036053,0.000309168123463807,-0.0002028811525678596,-0.00044447424585101266,0.0002801489719725488
0824_1000_539136F,1.0,Team 17,539136F,0.3279598308668076,0.012892675816648358,-0.006894577577103578,0.01830885260417543,0.01347459726866606
0824_1000_9M4VCHG,1.0,Team 17,9M4VCHG,0.3384920634920635,0.0040208807161947096,-0.0053779560092566394,0.0049933650843833645,0.0016913210549441247
0824_1000_U9TEJGM,1.0,Team 17,U9TEJGM,0.43629343629343637,0.007835435353888564,-0.006376858345158836,0.013174205647761814,0.003955242068745043
0824_1600_539136F,1.0,Team 19,539136F,0.4393939393939394,0.003952422704699789,-0.0038460976117038106,0.005445329203468886,0.002565841298926669
0824_1600_9M4VCHG,1.0,Team 19,9M4VCHG,0.1813953488372093,0.004990107506398633,-0.0057617451677845904,0.0066005323619673165,0.002608044989443991
0826_1000_539136F,3.0,Team 17,539136F,0.022727272727272707,0.007340391354017146,-0.0033804867167434045,0.01153544322644813,0.007105244118859901
0826_1000_9M4VCHG,3.0,Team 17,9M4VCHG,0.041176470588235314,0.0039622208159727215,-0.0022860171080977933,0.00735399805152268,-0.002246647288297692
0826_1300_539136F,2.0,Team 18,539136F,-0.13636363636363635,0.003970052147346251,-0.002460630268460216,0.00530515468398295,-0.0041443714895955846
0826_1300_9M4VCHG,2.0,Team 18,9M4VCHG,0.44135802469135804,0.0045781690478685355,-0.004456075580325949,0.005014962759684182,0.004263468803595474
0826_1300_U9TEJGM,2.0,Team 18,U9TEJGM,0.23529411764705876,0.012074968418347494,-0.013579456381258573,0.014290359217934439,0.008355089655849466
0827_1000_539136F,1.0,Team 16,539136F,-0.021306419960751333,0.0011121471714897553,-0.0005671138947683893,0.0020654392078152286,-0.000703888411885648
0827_1000_9M4VCHG,1.0,Team 16,9M4VCHG,0.5525078369905956,0.005969227411276798,-0.0022088418997844796,0.003939721690406621,0.011759118643639295
0827_1000_U9TEJGM,1.0,Team 16,U9TEJGM,0.12466124661246614,0.009409406960469142,-0.0014159804797404575,0.026245133063381096,-0.000567107338285871
0828_1300_9M4VCHG,2.0,Team 16,9M4VCHG,-0.0060455192034139515,0.0049520344778614675,-0.005799044071265958,0.006693168219388133,0.002363891142930312
0828_1300_U9TEJGM,2.0,Team 16,U9TEJGM,0.15372670807453426,0.010541773401217236,-0.002060672986071975,0.028698983987027752,0.0008656632305519799
0830_1300_539136F,1.0,Team 21,539136F,0.3394548063127689,0.005615560405369338,-0.0038689634836575676,0.007249351362925066,0.005728366369525381
0830_1300_9M4VCHG,1.0,Team 21,9M4VCHG,0.48275862068965514,0.009937413808598236,-0.005054198866659732,0.009945916028810665,0.01481212653032431
0830_1300_U9TEJGM,1.0,Team 21,U9TEJGM,0.6046511627906976,0.009597683831521604,-0.0057117336039396276,0.010918917425888153,0.01216240046473703
0831_1300_539136F,2.0,Team 21,539136F,0.14164904862579275,0.004783981120841376,-0.001587947901230914,0.009281176428784257,0.003482819032508958
0831_1300_9M4VCHG,2.0,Team 21,9M4VCHG,0.3737179487179487,0.005953646948155158,-0.002594349670056206,0.005695401266313177,0.009571189908096089
0831_1300_U9TEJGM,2.0,Team 21,U9TEJGM,0.6744186046511628,0.011935546053997706,-0.01093153055344809,0.009945455717200246,0.014929651891344781
0901_1000_539136F,2.0,Team 20,539136F,0.1239837398373983,0.008555818333651967,-0.00830522117879385,0.014897970781545896,0.0024642630406161584
0901_1000_9M4VCHG,2.0,Team 20,9M4VCHG,0.16514839847193652,0.007014359976873892,-0.01005181573712311,0.008239153613454925,0.0027521105800436384
0901_1000_U9TEJGM,2.0,Team 20,U9TEJGM,0.10227272727272729,0.006997879967351979,0.0002691073656923594,0.009528599088444613,0.011195933447918967
0901_1300_539136F,3.0,Team 21,539136F,0.1868421052631578,0.005768383979262502,0.0015156384930399894,0.013700610202727526,0.002088903242019992
0901_1300_9M4VCHG,3.0,Team 21,9M4VCHG,-0.4933881868939171,0.009120255372233939,-0.0019579059385260132,0.014172373036859991,-0.01123048714131581
0901_1300_U9TEJGM,3.0,Team 21,U9TEJGM,0.25143638850889194,0.010444754358537853,-0.00843711684549781,0.012610009344739156,0.010287136885376592
0915_1000_539136F,1.0,Team 22,539136F,0.20224358974358975,0.010858324707219681,-0.005729004060885364,0.01997775241651709,-0.0068682176442565876
0915_1000_9M4VCHG,1.0,Team 22,9M4VCHG,0.05747126436781613,0.006661220219522834,-0.0024349401513233883,-0.0006589217245943876,0.016889798782650726
0915_1000_U9TEJGM,1.0,Team 22,U9TEJGM,0.5143859649122807,0.002640635005108799,-0.003033094803868203,0.001509899596121934,0.0033789106153362582
0917_1030_539136F,2.0,Team 22,539136F,0.026162790697674465,0.0029390356970461547,-0.0011360557637227064,0.006177369732652461,0.0015036815947632976
0917_1030_9M4VCHG,2.0,Team 22,9M4VCHG,0.0,0.0025859714677260435,-0.0009147712910234015,-0.0008653359459352816,0.005977807166219447
0917_1030_U9TEJGM,2.0,Team 22,U9TEJGM,0.3695187165775401,0.004749432590376875,-0.002378673925301068,0.011500376219904494,0.0003692476259250622
0920_1600_539136F,1.0,Team 24,539136F,0.5517241379310345,0.007696221908980782,-0.002895621216104033,0.013674708771922478,0.006518335738915836
0920_1600_9M4VCHG,1.0,Team 24,9M4VCHG,0.5963203463203464,0.011035112292120437,-0.0028902153602647805,0.008657666254841268,0.02155745526125526
0920_1600_U9TEJGM,1.0,Team 24,U9TEJGM,0.4761904761904762,0.004178282870507417,-0.0030433777496231907,0.00029148542862104373,0.009199985433278017
0922_1000_539136F,1.0,Team 23,539136F,0.21598837209302324,0.006957576764610921,-0.0036247961154066946,0.009567681848152005,0.0076802523302740636
0922_1000_9M4VCHG,1.0,Team 23,9M4VCHG,-0.004105090311986914,0.004962439531005646,-0.0030744789494969393,0.007051578899850778,0.004761260743669218
0922_1000_U9TEJGM,1.0,Team 23,U9TEJGM,0.23506539413220218,0.0035945546235508254,-0.0006911290712118156,0.0026730961869003687,0.0074194386125402915
0923_1000_539136F,2.0,Team 23,539136F,0.06896551724137934,0.006446059396589647,-0.0015978224618590153,0.006726506731631428,0.011013848996278499
0923_1000_9M4VCHG,2.0,Team 23,9M4VCHG,0.09090909090909094,0.006262227699551888,-0.011264899828609816,0.003602449622331063,0.003919333647714786
0923_1000_U9TEJGM,2.0,Team 23,U9TEJGM,-0.19696969696969702,0.004737622720241817,0.0017000032711080547,0.005740355016495776,-0.006772509873121619
0923_1600_539136F,2.0,Team 24,539136F,0.09237804878048783,0.004571436443803368,-0.0024656730668447075,0.007257533967794562,0.0039911022967708334
0923_1600_U9TEJGM,2.0,Team 24,U9TEJGM,0.40164158686730506,0.007588078237927387,-0.0018910435844266276,0.004085541097526414,0.016787650031829117
0924_1000_539136F,3.0,Team 22,539136F,0.1821705426356589,0.0015280539296186138,0.0024401545843668756,0.0011204671732372767,0.0010235400312516897
0924_1000_9M4VCHG,3.0,Team 22,9M4VCHG,0.023255813953488413,0.003353512610035655,-0.0019196736365632346,0.002685225450272529,0.005455638743271202
0924_1000_U9TEJGM,3.0,Team 22,U9TEJGM,0.3067426400759734,0.0008815345313061873,-7.492315111080855e-05,-0.002296843702836332,0.00027283673997142164
0924_1600_539136F,3.0,Team 24,539136F,0.036340852130325785,0.004552886627926636,-0.0028262162257253164,0.002095861720494858,0.008736581937559735
0924_1600_9M4VCHG,3.0,Team 24,9M4VCHG,0.8390804597701149,0.010010587158911413,-0.004034454850170064,0.006299721813917666,0.01969758481264651
0924_1600_U9TEJGM,3.0,Team 24,U9TEJGM,0.0976744186046512,0.006603967146897556,-0.0010653480517471422,0.006969697673888896,0.011776855715056631
0927_0930_539136F,1.0,Team 25,539136F,0.4772727272727273,0.008544243164905197,-0.002933977208084576,0.008017705327022537,0.014681046959608477
0927_0930_U9TEJGM,1.0,Team 25,U9TEJGM,0.1603415559772296,0.001463464648116853,-0.003431532779118456,0.00013942564934537547,-0.0008194355158867277
0928_1600_539136F,1.0,Team 26,539136F,0.5193210545323221,0.002478759346622551,-0.0025682133509471326,0.0035314499973940713,-0.0013366146915264497
0928_1600_9M4VCHG,1.0,Team 26,9M4VCHG,0.5384615384615384,0.005749646290612517,-0.005533272940935312,0.006338344031640695,0.005377321899261546
0928_1600_U9TEJGM,1.0,Team 26,U9TEJGM,0.3114754098360656,0.004779052345268827,0.004590813878553087,0.006229584335478965,0.0035167588217744324
0930_1700_539136F,2.0,Team 25,539136F,0.0,0.005905046444542972,-0.003567738325317758,0.0035611405557015893,0.010586260452609566
0930_1700_9M4VCHG,2.0,Team 25,9M4VCHG,-0.020467836257309857,0.0027930212055683103,-0.004091984685157432,-0.002739249288145257,0.0015478296434022424
0930_1700_U9TEJGM,2.0,Team 25,U9TEJGM,0.2560975609756098,0.0037831654343578798,-0.0027821724725433303,0.0074523920777488,0.0011149317527815096
1005_1600_9M4VCHG,2.0,Team 26,9M4VCHG,0.28915662650602414,0.0074402473104405635,-0.0010914665047944926,-0.00043009584859897946,0.02079917957792822
1005_1600_U9TEJGM,2.0,Team 26,U9TEJGM,0.0,0.0010377379268552915,-0.00022087350572065568,-0.002767754236373558,-0.00012458603847166077
